S.No,Crime,Gender,Age,Income,Job,Maritalstatus,Education,Harm,Attack,AttackMethod,Perpetrator
0,0,0,2,1,1,1,3,4,2,5,1
1,0,1,0,0,9,0,2,1,2,0,1
2,0,0,2,0,2,1,3,1,2,0,1
3,0,0,2,0,1,1,2,0,2,0,1
4,0,0,2,0,0,1,2,1,2,0,0
5,0,0,3,0,2,1,3,0,0,1,0
6,0,0,3,2,6,1,1,1,2,0,1
7,0,0,2,0,1,1,3,1,2,0,0
8,0,1,2,1,6,0,0,1,2,0,0
9,0,0,2,1,1,1,3,1,2,0,0
10,0,0,2,1,2,1,3,1,2,0,1
11,0,0,2,0,1,1,3,1,2,0,0
12,0,0,2,0,1,1,3,1,2,0,0
13,0,1,2,0,1,0,3,1,2,0,1
14,0,0,3,1,1,1,2,1,2,0,0
15,0,0,3,1,1,1,2,1,2,0,0
16,0,0,1,0,1,1,2,1,2,0,1
17,0,0,2,1,1,1,2,1,2,0,0
18,0,0,3,0,1,1,2,1,2,0,0
19,0,0,2,1,0,1,0,1,2,0,0
20,0,0,2,0,1,1,3,1,2,0,1
21,0,0,0,1,1,1,0,1,2,0,0
22,0,0,1,1,1,1,2,1,2,0,0
23,0,1,2,1,6,1,0,1,2,0,0
24,0,0,3,1,2,1,2,4,2,5,0
25,0,0,3,0,1,1,2,1,2,0,0
26,0,0,3,1,1,1,0,1,2,0,1
27,0,0,1,1,1,1,2,1,2,0,0
28,0,0,3,1,1,1,2,1,2,0,1
29,0,0,2,1,8,1,2,0,0,1,0
30,0,1,0,1,6,0,2,1,2,0,0
31,0,1,0,1,1,0,2,1,2,0,1
32,0,0,3,0,1,1,3,0,0,1,1
33,0,0,2,0,1,1,2,1,2,0,0
34,0,0,3,0,1,1,2,1,2,0,0
35,0,1,1,0,3,1,3,1,2,0,1
36,0,0,2,0,1,1,3,1,2,0,1
37,0,1,1,0,1,0,3,0,2,0,1
38,0,0,3,0,1,1,3,1,2,0,1
39,0,0,2,0,1,1,3,0,2,0,1
40,0,1,2,0,1,1,3,0,2,0,0
41,0,0,2,0,1,1,2,1,2,0,0
42,0,0,1,1,1,1,2,1,2,0,1
43,0,0,1,1,1,1,2,1,2,0,1
44,0,1,3,0,3,1,2,1,2,0,1
45,0,1,0,1,6,0,2,1,2,0,1
46,0,0,2,0,1,1,3,1,2,0,0
47,0,0,3,1,1,1,2,1,2,0,0
48,0,1,1,1,4,1,0,1,2,0,1
49,0,0,3,1,1,1,0,1,2,0,1
50,0,0,1,0,0,1,0,1,2,0,1
51,0,0,2,0,1,1,2,4,2,5,1
52,0,0,1,0,1,1,2,1,2,0,0
53,0,0,2,2,6,1,1,1,2,0,0
54,0,0,3,1,1,1,2,1,2,0,0
55,0,0,3,1,1,1,2,1,2,0,0
56,0,0,2,1,1,1,2,1,2,0,1
57,0,0,3,1,2,0,2,4,2,5,0
58,0,0,1,1,7,0,2,1,2,0,0
59,0,0,2,1,1,1,2,1,2,0,1
60,0,0,2,0,1,1,3,4,2,5,0
61,0,1,3,2,6,1,1,1,2,0,0
62,0,0,3,0,2,1,3,1,2,0,0
63,0,0,3,0,1,1,3,1,2,0,1
64,0,0,1,1,0,1,2,4,2,5,1
65,0,0,0,2,6,0,1,1,2,0,1
66,0,0,2,1,1,1,2,1,2,0,0
67,0,0,0,0,1,0,2,1,2,0,0
68,0,0,2,1,1,1,2,1,2,0,0
69,0,1,0,0,1,1,0,0,0,1,0
70,0,1,2,0,1,0,2,1,2,0,1
71,0,1,2,0,1,0,2,1,2,0,1
72,0,0,1,2,6,1,1,4,2,5,0
73,0,1,0,0,7,0,0,0,0,1,1
74,0,0,2,1,1,1,2,1,2,0,0
75,0,0,2,0,1,1,2,1,2,0,0
76,0,0,0,0,9,0,2,1,2,0,0
77,0,1,2,1,4,1,0,0,2,0,0
78,0,1,0,0,1,0,2,0,2,0,0
79,0,1,3,2,6,1,1,0,2,0,1
80,0,0,1,1,0,1,0,0,2,0,0
81,0,0,2,0,1,1,3,1,2,0,0
82,0,0,3,0,2,1,3,1,2,0,1
83,0,0,1,1,0,1,0,1,2,0,1
84,0,0,2,1,1,1,2,1,2,0,1
85,0,0,1,0,1,1,2,1,2,0,0
86,0,0,0,1,1,1,2,1,2,0,1
87,0,0,2,1,7,0,0,1,2,0,0
88,0,0,1,1,0,0,1,4,2,5,0
89,0,0,2,1,4,1,0,1,2,0,0
90,0,0,2,0,1,1,2,1,2,0,0
91,0,0,1,1,1,1,2,1,2,0,0
92,0,0,1,1,0,1,2,1,2,0,0
93,0,0,0,0,0,1,2,1,2,0,0
94,0,0,2,0,1,1,3,1,2,0,1
95,0,0,3,1,4,1,0,1,2,0,1
96,0,0,2,2,1,0,3,1,2,0,0
97,0,0,2,0,1,1,3,0,0,1,0
98,0,0,3,2,7,1,0,3,2,5,0
99,0,0,3,0,1,1,3,4,2,5,1
100,0,0,3,1,1,1,2,4,2,5,1
