S.No,Crime,Gender,Age,Income,Job,Maritalstatus,Education,Harm,Attack,AttackMethod,Perpetrator
0,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Technical,Married,Primary Education,Fraud,Hacking Social Media Accounts,Creating a Fake Shopping Site,UnKnown
1,Misuse of Debit Cards or Credit Cards,Female,27 and Under,Low,Student,Single,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
2,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Retired,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
3,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Social Engineering,UnKnown
4,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Others,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
5,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Retired,Married,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware,Known
6,Misuse of Debit Cards or Credit Cards,Male,51 and Above,High,Justice and Security,Married,Under Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
7,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
8,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Middle,Justice and Security,Single,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
9,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
10,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Retired,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
11,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
12,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
13,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Low,Technical,Single,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
14,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
15,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
16,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Low,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
17,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
18,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
19,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Others,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
20,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
21,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Middle,Technical,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
22,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
23,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Middle,Justice and Security,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
24,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Retired,Married,High School,Fraud,Hacking Social Media Accounts,Creating a Fake Shopping Site,Known
25,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
26,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Technical,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
27,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
28,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
29,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,IT Sector,Married,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware,Known
30,Misuse of Debit Cards or Credit Cards,Female,27 and Under,Middle,Justice and Security,Single,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
31,Misuse of Debit Cards or Credit Cards,Female,27 and Under,Middle,Technical,Single,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
32,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Technical,Married,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware,UnKnown
33,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
34,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
35,Misuse of Debit Cards or Credit Cards,Female,Between 28 and 37,Low,Housewife,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
36,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
37,Misuse of Debit Cards or Credit Cards,Female,Between 28 and 37,Low,Technical,Single,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Social Engineering,UnKnown
38,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
39,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Social Engineering,UnKnown
40,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Social Engineering,Known
41,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
42,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
43,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
44,Misuse of Debit Cards or Credit Cards,Female,51 and Above,Low,Housewife,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
45,Misuse of Debit Cards or Credit Cards,Female,27 and Under,Middle,Justice and Security,Single,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,UnKnown
46,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering,Known
